Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5
Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²)
02.11.2018 15.34.54;0,000;2,83;;;02.11.2018 15.38.05;0,000;2,83;;;02.11.2018 15.39.51;0,000;2,84;;;02.11.2018 15.40.52;0,000;2,83;;;02.11.2018 15.41.24;0,000;2,83;;
02.11.2018 15.34.54;0,050;2,83;0,00;;02.11.2018 15.38.05;0,050;2,83;0,00;;02.11.2018 15.39.51;0,050;2,84;-0,03;;02.11.2018 15.40.52;0,050;2,83;0,00;;02.11.2018 15.41.24;0,050;2,83;0,03;
02.11.2018 15.34.54;0,100;2,83;0,00;0,00;02.11.2018 15.38.05;0,100;2,83;-0,01;-8,72E-4;02.11.2018 15.39.51;0,100;2,84;-0,02;0,18;02.11.2018 15.40.52;0,100;2,83;3,85E-4;0,04;02.11.2018 15.41.24;0,100;2,84;0,05;-0,06
02.11.2018 15.34.54;0,150;2,83;0,00;0,00;02.11.2018 15.38.05;0,150;2,83;0,00;0,03;02.11.2018 15.39.51;0,150;2,84;-0,01;0,18;02.11.2018 15.40.52;0,150;2,83;0,00;0,02;02.11.2018 15.41.24;0,150;2,84;0,03;-0,37
02.11.2018 15.34.54;0,200;2,83;0,00;0,02;02.11.2018 15.38.05;0,200;2,83;0,00;0,05;02.11.2018 15.39.51;0,200;2,84;0,00;0,16;02.11.2018 15.40.52;0,200;2,83;0,00;-6,53E-4;02.11.2018 15.41.24;0,200;2,84;-0,01;-0,38
02.11.2018 15.34.54;0,250;2,83;0,00;0,04;02.11.2018 15.38.05;0,250;2,83;1,96E-4;0,05;02.11.2018 15.39.51;0,250;2,84;6,86E-4;0,15;02.11.2018 15.40.52;0,250;2,83;0,00;-0,01;02.11.2018 15.41.24;0,250;2,84;-0,02;-0,15
02.11.2018 15.34.54;0,300;2,83;3,85E-4;0,03;02.11.2018 15.38.05;0,300;2,83;0,00;0,02;02.11.2018 15.39.51;0,300;2,84;0,01;0,10;02.11.2018 15.40.52;0,300;2,83;6,68E-4;-0,01;02.11.2018 15.41.24;0,300;2,84;-0,02;0,04
02.11.2018 15.34.54;0,350;2,83;0,00;0,01;02.11.2018 15.38.05;0,350;2,83;0,00;-0,01;02.11.2018 15.39.51;0,350;2,84;0,02;-0,01;02.11.2018 15.40.52;0,350;2,83;0,00;-0,01;02.11.2018 15.41.24;0,350;2,84;-0,01;0,10
02.11.2018 15.34.54;0,400;2,83;0,00;-0,01;02.11.2018 15.38.05;0,400;2,83;0,00;-0,02;02.11.2018 15.39.51;0,400;2,84;0,01;-0,08;02.11.2018 15.40.52;0,400;2,83;0,00;0,00;02.11.2018 15.41.24;0,400;2,84;-0,01;0,11
02.11.2018 15.34.54;0,450;2,83;8,56E-4;-0,02;02.11.2018 15.38.05;0,450;2,83;-7,62E-4;-0,01;02.11.2018 15.39.51;0,450;2,84;0,00;0,04;02.11.2018 15.40.52;0,450;2,83;0,00;0,00;02.11.2018 15.41.24;0,450;2,83;0,00;0,10
02.11.2018 15.34.54;0,500;2,83;0,00;-0,02;02.11.2018 15.38.05;0,500;2,83;1,96E-4;0,02;02.11.2018 15.39.51;0,500;2,84;0,01;0,22;02.11.2018 15.40.52;0,500;2,83;0,00;3,14E-4;02.11.2018 15.41.24;0,500;2,84;0,01;-0,02
02.11.2018 15.34.54;0,550;2,83;0,00;0,02;02.11.2018 15.38.05;0,550;2,83;0,00;0,02;02.11.2018 15.39.51;0,550;2,84;0,03;6,57;02.11.2018 15.40.52;0,550;2,83;0,00;-9,68E-4;02.11.2018 15.41.24;0,550;2,84;-2,61E-5;-0,12
02.11.2018 15.34.54;0,600;2,83;-8,41E-4;0,10;02.11.2018 15.38.05;0,600;2,83;0,00;-0,01;02.11.2018 15.39.51;0,600;2,84;0,04;-18,90;02.11.2018 15.40.52;0,600;2,83;9,43E-5;-0,01;02.11.2018 15.41.24;0,600;2,84;-0,02;-0,07
02.11.2018 15.34.54;0,650;2,83;0,01;0,11;02.11.2018 15.38.05;0,650;2,83;9,51E-4;-0,03;02.11.2018 15.39.51;0,650;2,84;1,93;31,54;02.11.2018 15.40.52;0,650;2,83;-3,85E-4;-0,01;02.11.2018 15.41.24;0,650;2,83;-0,01;0,12
02.11.2018 15.34.54;0,700;2,83;0,02;0,00;02.11.2018 15.38.05;0,700;2,83;0,00;-0,03;02.11.2018 15.39.51;0,700;2,85;-7,56;166,30;02.11.2018 15.40.52;0,700;2,83;0,00;-0,02;02.11.2018 15.41.24;0,700;2,83;0,00;0,19
02.11.2018 15.34.54;0,750;2,83;0,01;-0,14;02.11.2018 15.38.05;0,750;2,83;0,00;-0,01;02.11.2018 15.39.51;0,750;3,42;17,10;193,73;02.11.2018 15.40.52;0,750;2,83;0,00;-0,01;02.11.2018 15.41.24;0,750;2,83;0,02;0,04
02.11.2018 15.34.54;0,800;2,83;0,00;-0,17;02.11.2018 15.38.05;0,800;2,83;0,00;0,01;02.11.2018 15.39.51;0,800;0,00;34,77;-29,38;02.11.2018 15.40.52;0,800;2,83;0,00;0,01;02.11.2018 15.41.24;0,800;2,84;0,01;-0,14
02.11.2018 15.34.54;0,850;2,83;-0,01;-0,05;02.11.2018 15.38.05;0,850;2,83;0,00;0,01;02.11.2018 15.39.51;0,850;10,82;17,72;-345,13;02.11.2018 15.40.52;0,850;2,83;0,00;0,03;02.11.2018 15.41.24;0,850;2,84;-0,01;-0,14
02.11.2018 15.34.54;0,900;2,83;-0,01;0,06;02.11.2018 15.38.05;0,900;2,83;-4,79E-4;-0,02;02.11.2018 15.39.51;0,900;5,87;-17,00;-349,47;02.11.2018 15.40.52;0,900;2,83;4,79E-4;0,02;02.11.2018 15.41.24;0,900;2,83;-0,02;0,06
02.11.2018 15.34.54;0,950;2,83;-9,43E-5;0,08;02.11.2018 15.38.05;0,950;2,83;3,63E-4;-0,09;02.11.2018 15.39.51;0,950;2,86;-34,68;19,04;02.11.2018 15.40.52;0,950;2,83;0,00;0,01;02.11.2018 15.41.24;0,950;2,83;-4,47E-4;0,21
02.11.2018 15.34.55;1,000;2,83;5,73E-4;0,03;02.11.2018 15.38.06;1,000;2,83;-0,01;-0,13;02.11.2018 15.39.52;1,000;2,86;-17,68;358,33;02.11.2018 15.40.53;1,000;2,83;0,00;0,00;02.11.2018 15.41.25;1,000;2,83;0,02;0,15
02.11.2018 15.34.55;1,050;2,83;6,68E-4;0,01;02.11.2018 15.38.06;1,050;2,83;-0,02;-0,07;02.11.2018 15.39.52;1,050;3,43;24,11;305,40;02.11.2018 15.40.53;1,050;2,83;9,58E-4;0,01;02.11.2018 15.41.25;1,050;2,84;0,02;-0,02
02.11.2018 15.34.55;1,100;2,83;0,00;0,06;02.11.2018 15.38.06;1,100;2,83;-0,02;0,06;02.11.2018 15.39.52;1,100;0,00;31,71;-76,99;02.11.2018 15.40.53;1,100;2,83;0,00;0,05;02.11.2018 15.41.25;1,100;2,84;0,01;-0,06
02.11.2018 15.34.55;1,150;2,83;0,01;0,10;02.11.2018 15.38.06;1,150;2,83;-0,01;0,13;02.11.2018 15.39.52;1,150;12,95;7,55;-379,19;02.11.2018 15.40.53;1,150;2,83;0,00;0,11;02.11.2018 15.41.25;1,150;2,84;0,01;0,08
02.11.2018 15.34.55;1,200;2,83;0,01;0,08;02.11.2018 15.38.06;1,200;2,83;-9,43E-5;0,10;02.11.2018 15.39.52;1,200;2,85;-24,22;-239,63;02.11.2018 15.40.53;1,200;2,83;0,01;0,14;02.11.2018 15.41.25;1,200;2,84;0,02;0,25
02.11.2018 15.34.55;1,250;2,83;0,02;-0,02;02.11.2018 15.38.06;1,250;2,83;5,73E-4;0,03;02.11.2018 15.39.52;1,250;2,85;-33,72;43,31;02.11.2018 15.40.53;1,250;2,83;0,02;0,07;02.11.2018 15.41.25;1,250;2,84;0,03;0,26
02.11.2018 15.34.55;1,300;2,83;0,01;-0,07;02.11.2018 15.38.06;1,300;2,83;7,62E-4;-0,01;02.11.2018 15.39.52;1,300;2,84;1,09;136,66;02.11.2018 15.40.53;1,300;2,83;0,02;-0,06;02.11.2018 15.41.25;1,300;2,84;0,05;-0,01
02.11.2018 15.34.55;1,350;2,83;0,00;-0,07;02.11.2018 15.38.06;1,350;2,83;-4,79E-4;-0,01;02.11.2018 15.39.52;1,350;2,85;-4,76;21,05;02.11.2018 15.40.53;1,350;2,83;0,01;-0,14;02.11.2018 15.41.25;1,350;2,84;0,04;-0,44
02.11.2018 15.34.55;1,400;2,83;0,00;-0,03;02.11.2018 15.38.06;1,400;2,83;0,00;-0,01;02.11.2018 15.39.52;1,400;3,18;-12,18;-65,12;02.11.2018 15.40.53;1,400;2,83;0,00;-0,09;02.11.2018 15.41.25;1,400;2,85;0,00;-0,68
02.11.2018 15.34.55;1,450;2,83;0,00;0,01;02.11.2018 15.38.06;1,450;2,83;0,00;0,01;02.11.2018 15.39.52;1,450;1,08;-14,14;18,06;02.11.2018 15.40.53;1,450;2,83;0,00;3,59;02.11.2018 15.41.25;1,450;2,84;-0,05;-0,49
02.11.2018 15.34.55;1,500;2,83;0,00;0,09;02.11.2018 15.38.06;1,500;2,83;-1,89E-4;0,02;02.11.2018 15.39.52;1,500;0,95;-9,07;71,38;02.11.2018 15.40.53;1,500;2,83;0,01;-10,78;02.11.2018 15.41.25;1,500;2,84;-0,06;0,00
02.11.2018 15.34.55;1,550;2,83;0,01;0,15;02.11.2018 15.38.06;1,550;2,83;0,00;0,01;02.11.2018 15.39.52;1,550;0,83;-2,45;60,82;02.11.2018 15.40.53;1,550;2,83;1,09;-63,92;02.11.2018 15.41.25;1,550;2,84;-0,04;0,47
02.11.2018 15.34.55;1,600;2,83;0,02;0,12;02.11.2018 15.38.06;1,600;2,83;0,00;-0,01;02.11.2018 15.39.52;1,600;0,71;-2,45;21,46;02.11.2018 15.40.53;1,600;2,84;-4,32;-119,76;02.11.2018 15.41.25;1,600;2,84;-0,01;0,69
02.11.2018 15.34.55;1,650;2,83;0,03;-0,06;02.11.2018 15.38.06;1,650;2,83;1,89E-4;-0,02;02.11.2018 15.39.52;1,650;0,59;-2,51;-0,24;02.11.2018 15.40.53;1,650;3,16;-14,85;-96,66;02.11.2018 15.41.25;1,650;2,84;0,04;0,57
02.11.2018 15.34.55;1,700;2,84;0,02;-0,26;02.11.2018 15.38.06;1,700;2,83;0,00;-0,01;02.11.2018 15.39.52;1,700;0,46;-2,57;1,20;02.11.2018 15.40.53;1,700;1,22;-19,98;23,44;02.11.2018 15.41.25;1,700;2,84;0,07;0,14
02.11.2018 15.34.55;1,750;2,84;-0,01;2,67;02.11.2018 15.38.06;1,750;2,83;0,00;0,00;02.11.2018 15.39.52;1,750;0,33;-2,40;3,73;02.11.2018 15.40.53;1,750;0,00;-12,25;127,26;02.11.2018 15.41.25;1,750;2,85;0,06;-0,39
02.11.2018 15.34.55;1,800;2,84;-0,02;-10,71;02.11.2018 15.38.06;1,800;2,83;-7,62E-4;0,01;02.11.2018 15.39.52;1,800;0,20;-2,20;28,31;02.11.2018 15.40.53;1,800;0,00;0,11;115,10;02.11.2018 15.41.25;1,800;2,85;0,02;5,81
02.11.2018 15.34.55;1,850;2,83;0,87;-48,73;02.11.2018 15.38.06;1,850;2,83;2,91E-4;0,03;02.11.2018 15.39.52;1,850;0,13;-1,76;74,08;02.11.2018 15.40.53;1,850;0,70;3,23;23,45;02.11.2018 15.41.25;1,850;2,85;-0,03;-19,15
02.11.2018 15.34.55;1,900;2,83;-4,07;-59,73;02.11.2018 15.38.06;1,900;2,83;0,00;0,07;02.11.2018 15.39.52;1,900;0,00;5,29;96,07;02.11.2018 15.40.53;1,900;0,55;-0,93;-14,40;02.11.2018 15.41.25;1,900;2,84;1,90;-88,34
02.11.2018 15.34.55;1,950;3,10;-10,58;2,71;02.11.2018 15.38.06;1,950;2,83;0,00;0,12;02.11.2018 15.39.52;1,950;0,00;12,34;60,60;02.11.2018 15.40.53;1,950;0,42;-4,17;41,08;02.11.2018 15.41.25;1,950;2,84;-7,56;-138,97
02.11.2018 15.34.56;2,000;1,35;-6,49;101,79;02.11.2018 15.38.07;2,000;2,83;0,02;0,16;02.11.2018 15.39.53;2,000;1,91;12,52;-7,86;02.11.2018 15.40.54;2,000;0,00;3,19;96,92;02.11.2018 15.41.26;2,000;3,42;-18,95;-88,69
